question_id,question,fixed_mean_attempts,learned_mean_attempts,fixed_best_score_mean,learned_best_score_mean,fixed_success_rate,learned_success_rate,fixed_mean_wall_seconds,learned_mean_wall_seconds,fixed_mean_cpu_seconds,learned_mean_cpu_seconds
24,What are the Medical Leave accumulation limits and the conditions for using accumulated leave?,2,2,0.82,0.82,1,1,0.126848,0.13225,0.75,0.78125
25,What is the complete procedure for extending Medical Leave and rejoining duty?,2,2,0.82,0.82,1,1,0.136486,0.135674,0.838542,0.8125
26,"What are the eligibility, duration, and documentation requirements for Maternity Leave?",2,2,0.73,0.73,0,0,0.135349,0.134975,0.833333,0.78125
27,What restrictions apply to Maternity Leave based on the number of living children?,2,2,0.73,0.73,0,0,0.149347,0.137412,0.828125,0.838542
28,What service requirement applies to Maternity Leave eligibility?,2,2,0.73,0.73,0,0,0.132827,0.135941,0.776042,0.802083
29,What are the conditions for claiming vacation salary and who is eligible?,2,1,0.81,0.77,1,1,0.131157,0.066255,0.791667,0.395833
30,What restrictions apply when vacation is combined with other leave?,2,2,0.81,0.81,1,1,0.132966,0.129122,0.807292,0.765625
31,What are the rules for taking vacation and the conditions for remaining eligible for vacation salary?,2,2,0.81,0.81,1,1,0.126357,0.133243,0.744792,0.8125
32,What is the complete process for obtaining a Service Certificate after resignation or retirement?,2,2,0.75,0.75,1,1,0.149621,0.148453,0.859375,0.901042
33,When can a resigning employee attend an Exit Interview and what is its purpose?,2,2,0.78,0.78,1,1,0.143745,0.14417,0.838542,0.875
34,What notice and relieving requirements apply when an employee resigns from VIT?,1,1,0.82,0.82,1,1,0.073679,0.077865,0.453125,0.447917
35,What are the eligibility and approval conditions for Leave on Duty?,2,2,0.75,0.75,1,1,0.133855,0.135004,0.817708,0.8125
36,What are the eligibility and duration conditions for Sabbatical Leave?,2,1,0.77,0.77,1,1,0.150954,0.070582,0.895833,0.416667
37,What are the differences between Compensatory Off rules for faculty and staff?,2,2,0.69,0.69,0,0,0.136531,0.141125,0.776042,0.880208
38,What conditions must be satisfied before Compensatory Off can be granted?,2,2,0.69,0.69,0,0,0.142199,0.14238,0.864583,0.854167
39,What are the rules for combining different forms of leave at VIT?,1,1,0.68,0.68,0,0,0.067569,0.060027,0.369792,0.369792
40,What happens when an employee is absent without proper leave approval?,1,1,0.59,0.59,0,0,0.065474,0.06991,0.375,0.4375
41,What are the conditions for resuming work after an extended leave?,1,1,0.77,0.77,1,1,0.072205,0.073564,0.432292,0.4375
42,"What are the conditions for resignation, relieving, and obtaining a Service Certificate?",2,1,0.78,0.78,1,1,0.164509,0.07296,0.942708,0.40625
43,"What are the complete rules governing leave approval, medical certification, and leave extension?",1,1,0.6,0.6,0,0,0.071507,0.079383,0.4375,0.447917
44,"What are the conditions governing holidays, leave, and employee eligibility at VIT?",1,1,0.82,0.82,1,1,0.076623,0.073986,0.4375,0.453125
45,Can an employee take Casual Leave and combine it with another type of leave?,2,2,0.67,0.67,0,0,0.144279,0.147446,0.869792,0.869792
46,What happens if an employee applies for leave without obtaining prior sanction?,1,1,0.65,0.65,0,0,0.06935,0.065863,0.375,0.4375
47,Can unused Casual Leave be carried forward to the next academic year?,2,2,0.76,0.76,1,1,0.140617,0.153455,0.8125,0.947917
48,What happens if Medical Leave continues for more than one month?,2,2,0.82,0.82,1,1,0.149872,0.164086,0.9375,0.854167
49,Can Medical Leave be taken without the required medical certificate?,2,2,0.82,0.82,1,1,0.150478,0.145757,0.890625,0.838542
50,What conditions apply when Medical Leave is taken outside the VIT Health Centre?,2,2,0.82,0.82,1,1,0.149666,0.154149,0.901042,0.901042
51,Can an employee claim Medical Leave during the first year of service?,2,1,0.84,0.84,1,1,0.142225,0.069412,0.875,0.40625
52,What happens if an employee does not submit the required medical certificate within the prescribed time?,1,1,0.73,0.73,0,0,0.069966,0.073928,0.40625,0.442708
53,What are the differences between faculty and staff for Compensatory Off?,2,2,0.73,0.73,0,0,0.143643,0.151171,0.84375,0.90625
54,Can an employee resume work after a leave period without following the prescribed procedure?,1,1,0.66,0.66,0,0,0.072041,0.07163,0.411458,0.432292
55,What happens when an employee resigns voluntarily from VIT?,1,1,0.79,0.79,1,1,0.07134,0.071958,0.463542,0.375
56,What are the conditions for obtaining a service certificate after resignation?,2,1,0.78,0.78,1,1,0.133873,0.066947,0.817708,0.40625
57,What is the relationship between resignation notice and the Exit Interview?,2,1,0.78,0.77,1,1,0.1398,0.070743,0.875,0.40625
58,Can an employee avail vacation without satisfying the required conditions?,2,2,0.81,0.81,1,1,0.15952,0.161161,0.864583,1.010417
59,What happens when an employee is laid off during a stoppage of work?,1,1,0.87,0.87,1,1,0.074563,0.069159,0.40625,0.416667
60,What are the conditions for reinstatement after lay-off?,1,1,0.79,0.79,1,1,0.071524,0.069823,0.40625,0.4375
61,What are the rules for combining different types of leave?,1,1,0.56,0.56,0,0,0.072111,0.07564,0.40625,0.46875
62,What are the restrictions on maternity leave?,2,1,0.79,0.79,1,1,0.154787,0.073452,0.942708,0.432292
63,What documentation is required for maternity leave?,2,2,0.76,0.76,1,1,0.134415,0.13875,0.8125,0.838542
64,What are the conditions for Sabbatical Leave and its extension?,2,1,0.77,0.77,1,1,0.156133,0.081572,0.885417,0.510417
65,How many days of Casual Leave can an employee avail in an academic year?,2,1,0.9,0.9,1,1,0.143068,0.07225,0.828125,0.4375
66,Who is eligible for Casual Leave at VIT?,2,1,0.84,0.84,1,1,0.14495,0.067508,0.875,0.40625
67,Can unused Casual Leave be carried forward?,2,2,0.74,0.74,0,0,0.1414,0.156339,0.848958,0.927083
68,What is the maximum number of Casual Leave days that can be taken at one time?,2,1,0.82,0.82,1,1,0.1462,0.072187,0.869792,0.447917
69,What is the procedure for applying for leave at VIT?,1,1,0.68,0.68,0,0,0.069617,0.072643,0.427083,0.411458
70,Who can sanction leave for an employee?,1,1,0.75,0.75,1,1,0.068876,0.06706,0.401042,0.40625
71,What is Medical Leave at VIT?,2,1,0.93,0.93,1,1,0.149822,0.094167,0.864583,0.46875
72,How many days of Medical Leave can be accumulated?,2,1,0.93,0.93,1,1,0.143591,0.069369,0.838542,0.432292
73,What certificate is required for Medical Leave?,2,1,0.82,0.79,1,1,0.145803,0.073873,0.880208,0.4375
74,What is the maternity leave entitlement?,2,1,0.91,0.91,1,1,0.155092,0.067537,0.911458,0.40625
75,What is the purpose of the Exit Interview System?,2,1,0.78,0.77,1,1,0.14016,0.062988,0.838542,0.375
76,When is a service certificate issued?,2,1,0.78,0.78,1,1,0.14153,0.063434,0.848958,0.40625
77,What are the rules for VIT holidays?,1,1,0.93,0.93,1,1,0.074965,0.070224,0.4375,0.4375
78,Who is eligible for Earned Leave?,2,1,0.9,0.9,1,1,0.160463,0.073526,0.921875,0.4375
79,How is Earned Leave calculated for staff?,2,1,0.79,0.79,1,1,0.146125,0.067836,0.869792,0.416667
80,How is Earned Leave calculated for faculty?,2,1,0.79,0.79,1,1,0.149094,0.074009,0.895833,0.4375
81,What is Compensatory Off?,2,1,0.84,0.84,1,1,0.14733,0.071225,0.869792,0.427083
82,What is the purpose of the Exit Interview?,2,2,0.78,0.78,1,1,0.139366,0.13937,0.807292,0.84375
83,What happens when an employee resigns?,1,1,0.76,0.76,1,1,0.06905,0.071154,0.458333,0.390625
84,What is the notice period for resignation?,2,1,0.91,0.91,1,1,0.145598,0.073052,0.916667,0.395833
85,What is Sabbatical Leave?,2,1,0.92,0.92,1,1,0.140239,0.069205,0.854167,0.427083
86,What is Long Leave on Loss of Pay?,2,1,0.89,0.89,1,1,0.152309,0.077137,0.875,0.5
87,What is Leave on Duty?,2,1,0.88,0.88,1,1,0.154521,0.104405,0.90625,0.479167
88,Can employees avail vacation?,2,2,0.81,0.81,1,1,0.143569,0.144907,0.828125,0.895833
89,What is vacation salary?,2,1,0.87,0.87,1,1,0.150621,0.075256,0.90625,0.4375
90,What prior permission is required before an employee avails Casual Leave?,2,2,0.61,0.61,0,0,0.158846,0.156534,0.9375,0.963542
91,What is the minimum amount of Casual Leave that can be availed at a time?,2,1,0.84,0.84,1,1,0.208832,0.080306,1.067708,0.4375
92,How should a Medical Certificate from outside the VIT Health Centre be authenticated?,1,1,0.82,0.82,1,1,0.092072,0.083498,0.489583,0.505208
93,How many times can a woman employee avail Maternity Leave during her entire service?,2,1,0.77,0.77,1,1,0.156941,0.081054,0.947917,0.463542
94,Can Maternity Leave be debited against the entitlement of another type of leave?,2,1,0.79,0.79,1,1,0.147957,0.071013,0.869792,0.421875
95,What must the Doctor's certificate state for Maternity Leave?,2,2,0.76,0.76,1,1,0.157295,0.156683,0.947917,0.921875
96,What payment or compensatory option is available to staff who work on the seventh day after six continuous working days?,2,2,0.75,0.75,1,1,0.154247,0.158384,0.9375,0.9375
97,Within what period must Compensatory Off or Leave be availed after entitlement?,2,1,0.82,0.82,1,1,0.151896,0.069912,0.911458,0.411458
98,Are Faculty members eligible for Compensatory Off or Leave?,2,1,0.89,0.89,1,1,0.156421,0.077466,0.9375,0.458333
99,What document must an employee produce before applying for financial dues and the relieving order?,1,1,0.69,0.69,0,0,0.075509,0.080439,0.46875,0.46875
100,Can accumulated leave be adjusted against the resignation notice period?,2,1,0.85,0.85,1,1,0.158037,0.087202,0.921875,0.494792
