original_question,attempt,score,best_score,score_delta,chunk_overlap,halt
What are the conditions associated with resignation and relieving an employee?,1,0.82,0.82,0.0,0.0,1
What are the rules for Compensatory Off for faculty and staff?,1,0.8,0.8,0.0,0.0,1
What conditions apply when an employee is unable to resume work after leave?,1,0.8,0.8,0.0,0.0,1
What are the rules for Leave on Duty?,1,0.75,0.75,0.0,0.0,1
What are the conditions for Sabbatical Leave?,1,0.92,0.92,0.0,0.0,1
What are the eligibility requirements for Earned Leave?,1,0.79,0.79,0.0,0.0,1
What happens when leave is taken without prior sanction?,1,0.66,0.66,0.0,0.0,1
What are the rules governing leave during the first year of service?,1,0.71,0.71,0.0,0.0,1
What are the documentation requirements for Medical Leave taken outside the VIT Health Centre?,1,0.79,0.79,0.0,0.0,1
What are the rules for extending a Medical Leave?,1,0.7,0.7,0.0,0.0,0
What are the rules for extending a Medical Leave?,2,0.82,0.82,0.12,0.2,1
What are the conditions for maternity leave and what documentation is required?,1,0.82,0.82,0.0,0.0,1
What are the rules for resignation and the Exit Interview System?,1,0.93,0.93,0.0,0.0,1
How do leave approval and medical certification requirements interact?,1,0.61,0.61,0.0,0.0,1
Can an employee take Casual Leave and combine it with another type of leave?,1,0.67,0.67,0.0,0.0,1
Can an employee take Casual Leave and combine it with another type of leave?,2,0.68,0.68,0.010000000000000009,0.2,1
What happens if an employee applies for leave without obtaining prior sanction?,1,0.65,0.65,0.0,0.0,1
Can unused Casual Leave be carried forward to the next academic year?,1,0.76,0.76,0.0,0.0,1
What happens if Medical Leave continues for more than one month?,1,0.65,0.65,0.0,0.0,0
What happens if Medical Leave continues for more than one month?,2,0.82,0.82,0.16999999999999993,0.5,1
Can Medical Leave be taken without the required medical certificate?,1,0.72,0.72,0.0,0.0,0
Can Medical Leave be taken without the required medical certificate?,2,0.82,0.82,0.09999999999999998,0.5,1
What conditions apply when Medical Leave is taken outside the VIT Health Centre?,1,0.76,0.76,0.0,0.0,1
Can an employee claim Medical Leave during the first year of service?,1,0.84,0.84,0.0,0.0,1
What happens if an employee does not submit the required medical certificate within the prescribed time?,1,0.73,0.73,0.0,0.0,1
What are the differences between faculty and staff for Compensatory Off?,1,0.73,0.73,0.0,0.0,1
What are the differences between faculty and staff for Compensatory Off?,2,0.65,0.73,-0.07999999999999996,0.0,1
Can an employee resume work after a leave period without following the prescribed procedure?,1,0.66,0.66,0.0,0.0,1
What happens when an employee resigns voluntarily from VIT?,1,0.79,0.79,0.0,0.0,1
What are the conditions for obtaining a service certificate after resignation?,1,0.78,0.78,0.0,0.0,1
What is the relationship between resignation notice and the Exit Interview?,1,0.77,0.77,0.0,0.0,1
Can an employee avail vacation without satisfying the required conditions?,1,0.55,0.55,0.0,0.0,0
Can an employee avail vacation without satisfying the required conditions?,2,0.75,0.75,0.19999999999999996,0.2,1
What happens when an employee is laid off during a stoppage of work?,1,0.87,0.87,0.0,0.0,1
What are the conditions for reinstatement after lay-off?,1,0.79,0.79,0.0,0.0,1
What are the rules for combining different types of leave?,1,0.56,0.56,0.0,0.0,1
What are the restrictions on maternity leave?,1,0.79,0.79,0.0,0.0,1
What documentation is required for maternity leave?,1,0.76,0.76,0.0,0.0,1
What are the conditions for Sabbatical Leave and its extension?,1,0.77,0.77,0.0,0.0,1
"What are all the conditions, approvals, and documents required for Medical Leave beyond one month?",1,0.57,0.57,0.0,0.0,0
"What are all the conditions, approvals, and documents required for Medical Leave beyond one month?",2,0.82,0.82,0.25,0.5,1
What are the rules for Medical Leave when treatment is taken outside the VIT Health Centre?,1,0.81,0.81,0.0,0.0,1
What service requirement must an employee satisfy before becoming eligible for Medical Leave?,1,0.67,0.67,0.0,0.0,0
What service requirement must an employee satisfy before becoming eligible for Medical Leave?,2,0.82,0.82,0.1499999999999999,0.2,1
What are the Medical Leave accumulation limits and the conditions for using accumulated leave?,1,0.73,0.73,0.0,0.0,0
What are the Medical Leave accumulation limits and the conditions for using accumulated leave?,2,0.82,0.82,0.08999999999999997,0.2,1
What is the complete procedure for extending Medical Leave and rejoining duty?,1,0.62,0.62,0.0,0.0,0
What is the complete procedure for extending Medical Leave and rejoining duty?,2,0.82,0.82,0.19999999999999996,1.0,1
"What are the eligibility, duration, and documentation requirements for Maternity Leave?",1,0.62,0.62,0.0,0.0,1
"What are the eligibility, duration, and documentation requirements for Maternity Leave?",2,0.71,0.71,0.08999999999999997,0.5,1
What restrictions apply to Maternity Leave based on the number of living children?,1,0.7,0.7,0.0,0.0,1
What restrictions apply to Maternity Leave based on the number of living children?,2,0.71,0.71,0.010000000000000009,0.5,1
What service requirement applies to Maternity Leave eligibility?,1,0.69,0.69,0.0,0.0,1
What service requirement applies to Maternity Leave eligibility?,2,0.71,0.71,0.020000000000000018,0.5,1
What are the conditions for claiming vacation salary and who is eligible?,1,0.77,0.77,0.0,0.0,1
What restrictions apply when vacation is combined with other leave?,1,0.75,0.75,0.0,0.0,1
What are the rules for taking vacation and the conditions for remaining eligible for vacation salary?,1,0.68,0.68,0.0,0.0,0
What are the rules for taking vacation and the conditions for remaining eligible for vacation salary?,2,0.75,0.75,0.06999999999999995,0.2,1
What is the complete process for obtaining a Service Certificate after resignation or retirement?,1,0.75,0.75,0.0,0.0,1
When can a resigning employee attend an Exit Interview and what is its purpose?,1,0.75,0.75,0.0,0.0,1
What notice and relieving requirements apply when an employee resigns from VIT?,1,0.82,0.82,0.0,0.0,1
What are the eligibility and approval conditions for Leave on Duty?,1,0.74,0.74,0.0,0.0,0
What are the eligibility and approval conditions for Leave on Duty?,2,0.84,0.84,0.09999999999999998,0.0,1
What are the eligibility and duration conditions for Sabbatical Leave?,1,0.77,0.77,0.0,0.0,1
What are the differences between Compensatory Off rules for faculty and staff?,1,0.69,0.69,0.0,0.0,1
What are the differences between Compensatory Off rules for faculty and staff?,2,0.65,0.69,-0.039999999999999925,0.0,1
What conditions must be satisfied before Compensatory Off can be granted?,1,0.66,0.66,0.0,0.0,1
What conditions must be satisfied before Compensatory Off can be granted?,2,0.65,0.66,-0.010000000000000009,0.0,1
What are the rules for combining different forms of leave at VIT?,1,0.68,0.68,0.0,0.0,1
What happens when an employee is absent without proper leave approval?,1,0.59,0.59,0.0,0.0,1
What are the conditions for resuming work after an extended leave?,1,0.77,0.77,0.0,0.0,1
"What are the conditions for resignation, relieving, and obtaining a Service Certificate?",1,0.78,0.78,0.0,0.0,1
"What are the complete rules governing leave approval, medical certification, and leave extension?",1,0.6,0.6,0.0,0.0,1
"What are the conditions governing holidays, leave, and employee eligibility at VIT?",1,0.82,0.82,0.0,0.0,1
